Path,Date,Commit Count
refs/tags/mahout-0.1,2010-05-12,367
refs/tags/mahout-0.2,2010-05-12,0
refs/tags/mahout-0.3,2010-05-12,0
refs/tags/mahout-collection-codegen-plugin-1.0,2010-05-12,0
refs/tags/mahout-collections-1.0,2010-05-12,0
refs/tags/mahout-0.4,2010-10-28,440
refs/tags/mahout-0.5-RC-1,2011-04-29,201
refs/tags/mahout-0.5-RC1,2011-04-29,0
refs/tags/mahout-0.5,2011-05-28,42
refs/tags/mahout-0.6,2012-02-01,348
refs/tags/mahout-0.7,2012-06-12,145
refs/tags/mahout-0.8,2013-07-07,325
refs/tags/mahout-0.9,2014-01-28,225
refs/tags/mahout-0.10.0,2015-04-10,342
refs/tags/mahout-0.10.1,2015-05-30,34
refs/tags/mahout-0.10.2,2015-08-05,35
refs/tags/mahout-0.11.0,2015-08-06,5
refs/tags/mahout-0.11.1,2015-11-06,31
refs/tags/mahout-0.11.2,2016-03-11,19
refs/tags/mahout-0.12.0,2016-04-11,82
refs/tags/mahout-0.12.1,2016-05-18,39
refs/tags/mahout-0.12.2,2016-06-13,86
refs/tags/mahout-0.12.3,2016-09-06,11
refs/tags/mahout-0.13.0,2017-04-15,124
refs/tags/mahout-0.13.1-rc1,2017-07-07,80
refs/tags/mahout-0.14.0,2019-03-01,166
refs/tags/mahout-14.1_2.11,2019-11-04,231
refs/tags/mahout-14.1-RC1,2019-12-14,33
refs/tags/mahout-14.1_2.12,2019-12-14,17
refs/tags/mahout-14.1_2.12-RC1,2019-12-14,17
refs/tags/mahout-14.1-2_11-RC3,2020-01-13,41
refs/tags/mahout-14.1_2.12-RC3,2020-01-14,19
refs/tags/mahout_2.11-14.1-RC4,2020-02-01,26
refs/tags/mahout_2.12-14.1-RC4,2020-02-01,0
